NAME,SEEDS,LEECHES,TIME,SIZE,UPLOADER
Mission Impossible II (2000) (2160p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR],5,12,7am Feb. 6th,5.6 GB5,UTRCorp
Mission Impossible (1996) (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,2,2,7am Feb. 6th,1.4 GB2,UTRCorp
Mission Impossible (1996) (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],16,2,7am Feb. 6th,2.0 GB16,UTRCorp
Mission Impossible (1996) (2160p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,6,5,7am Feb. 6th,5.0 GB6,UTRCorp
Sex Education (2019) Season 02 S02 (2160p NF WEBRip x265 HEVC 10bit SDR AAC 5.1 Joy) [UTR]4,7,5,10am Feb. 5th,12.2 GB7,UTRCorp
The Ranch (2016) Season 04 S04 (2160p WEBRip NVENC HEVC 10bit AAC 5.1 Joy) [UTR]8,2,4,10am Feb. 4th,19.0 GB2,UTRCorp
The Ranch (2016) Season 04 S04 (1080p WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,10,4,10am Feb. 4th,6.1 GB10,UTRCorp
Saturday Night Live S45E12 (1080p HULU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],8,1,1pm Feb. 3rd,677.4 MB8,UTRCorp
Chilling Adventures of Sabrina (2018) Season 3 S03 (2160p NF WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UT...,6,4,6pm Feb. 2nd,13.9 GB6,UTRCorp
Supernatural (2005) Season 02 S02 (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR],9,4,6pm Feb. 2nd,8.8 GB9,UTRCorp
The Good Place S04E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]8,10,0,6am Feb. 2nd,803.8 MB10,UTRCorp
 The Good Place (2016) Season 04 S04 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],20,3,6am Feb. 2nd,3.8 GB20,UTRCorp
Supernatural (2005) Season 01 S01 (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]2,17,4,5pm Feb. 1st,9.1 GB17,UTRCorp
Chilling Adventures of Sabrina (2018) Season 3 S03 (1080p NF WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UT...5,19,7,5pm Feb. 1st,4.5 GB19,UTRCorp
Hocus Pocus (1993) [1080p DSNP WEBRip x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],11,6,4pm Feb. 1st,2.1 GB11,UTRCorp
Hocus Pocus (1993) (2160p DSNP WEBRip NVENC HEVC 10bit AAC 5.1 Joy) [UTR]3,3,0,4pm Feb. 1st,3.5 GB3,UTRCorp
X-Men (2000) + Featurettes (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]2,17,2,4pm Feb. 1st,1.7 GB17,UTRCorp
X-Men (2000) + Featurettes (2160p BluRay x265 HEVC 10bit SDR AAC 7.1 Joy) [UTR]2,8,4,4pm Feb. 1st,5.1 GB8,UTRCorp
Young Sheldon S03E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],15,2,4pm Feb. 1st,195.1 MB15,UTRCorp
Vikings S06E09 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]2,17,1,5am Feb. 1st,454.2 MB17,UTRCorp
Harley Quinn S01E10 (1080p DCU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,7,0,5am Feb. 1st,226.7 MB7,UTRCorp
Harley Quinn S01E10 (2160p DCU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],5,1,5am Feb. 1st,697.4 MB5,UTRCorp
